title,year,director,actors
Rocky,1976,John G. Avildsen,Sylvester Stallone;Talia Shire;Carl Weathers;Burt Young
Rocky 2,1979,Sylvester Stallone,Sylvester Stallone;Talia Shire;Carl Weathers;Burt Young;Burgess Meredith;Tony Burton;Frank Stallone;Stu Nahan
Rocky 3,1982,Sylvester Stallone,Sylvester Stallone;Talia Shire;Carl Weathers;Burt Young;Burgess Meredith;Mister T.;Hulk Hogan;Tony Burton
Last Action Hero,1993,John McTierman,Arnold Schwarzenegger;Austin O'Brien;Charles Dance;Bridget Wilson-Sampras
Terminator,1984,James Cameron,Arnold Schwarzenegger;Michael Biehn;Linda Hamilton
Termintaor 2,1991,James Cameron,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick
Terminator 3,2003,Jonathan Mostow,Arnold Schwarzenegger;Nick Stahl;Claire Danes;Kristanna Loken
Terminator Salvation,2009,Joseph McGinty Nichol,Christian Bale;Sam Worthington;Anton Yelchin;Bryce Dallas Howard
Total Recall,1990,Paul Verhoeven,Arnold Schwarzenegger;Sharon Stone;Michael Ironside;Rachel Ticotin;Ronny Cox
RoboCop,1987,Paul Verhoeven,Peter Weller;Nancy Allen;Ronny Cox;Kurtwood Smith;Miguel Ferrer
Ghostbusters,1984,Ivan Reitman,Bill Murray;Dan Aykroyd;Sigourney Weaver;Harold Ramis;Rick Moranis;Ernie Hudson;Annie Potts;William Atherton
Alien,1979,Ridley Scott,Sigourney Weaver;John Hurt;Ian Holm;Harry Dean Stanton;Tom Skerritt;Yaphet Kotto;Veronica Cartwright
